page_id,page_title,page_url,links
0,New PS4 Fake PKG (FPKG) Game Updates in PlayStation 4 Scene,https://www.psxhax.com/threads/new-ps4-fake-pkg-fpkg-game-updates-in-playstation-4-scene.16025/,"https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/medusa-and-her-lover-v1-00-ps4-fpkgs-by-opoisso893-golemnight.16015/"
1,PlayStation Store Summer Sale 2023 Kicks Off on July 19th,https://www.psxhax.com/threads/playstation-store-summer-sale-2023-kicks-off-on-july-19th.16016/,
2,Medusa and Her Lover v1.00 PS4 FPKGs by Opoisso893 / Golemnight,https://www.psxhax.com/threads/medusa-and-her-lover-v1-00-ps4-fpkgs-by-opoisso893-golemnight.16015/,"https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/latest-ps4-fpkg-game-updates-by-cyb1k-cyberpt1000-in-ps4scene.16011/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
3,Latest PS4 FPKG Game Updates by CyB1K (Cyberpt1000) in PS4Scene,https://www.psxhax.com/threads/latest-ps4-fpkg-game-updates-by-cyb1k-cyberpt1000-in-ps4scene.16011/,"https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/sniper-elite-5-v1-28-dlc-pack-v3-luckys-tale-vr-v1-02-ps4-fpkgs.16010/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
4,Sniper Elite 5 v1.28 + DLC Pack v3 & Lucky's Tale VR v1.02 PS4 FPKGs,https://www.psxhax.com/threads/sniper-elite-5-v1-28-dlc-pack-v3-luckys-tale-vr-v1-02-ps4-fpkgs.16010/,"https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/rain-world-v1-09-ps4-fake-pkgs-with-downpour-dlc-ps4-fpkgs.15993/,https://www.psxhax.com/threads/new-ps4-game-fpkgs-and-dlc-by-mrboot-fugazi-in-ps4scene.15995/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
5,New PS4 Game FPKGs and DLC by MrBOOT (Fugazi) in PS4Scene,https://www.psxhax.com/threads/new-ps4-game-fpkgs-and-dlc-by-mrboot-fugazi-in-ps4scene.15995/,"https://www.psxhax.com/threads/rain-world-v1-09-ps4-fake-pkgs-with-downpour-dlc-ps4-fpkgs.15993/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
6,"Access Controller for PS5 Launches December 6th, New Features Trailer",https://www.psxhax.com/threads/access-controller-for-ps5-launches-december-6th-new-features-trailer.15994/,"https://www.psxhax.com/threads/sony-introduces-project-leonardo-customizable-accessibility-ps5-controller-kit.14905/,https://www.psxhax.com/threads/new-images-and-ui-of-ps5-access-controller-for-playstation-5.15679/"
7,Rain World v1.09 PS4 Fake PKGs with Downpour DLC PS4 FPKGs,https://www.psxhax.com/threads/rain-world-v1-09-ps4-fake-pkgs-with-downpour-dlc-ps4-fpkgs.15993/,"https://www.psxhax.com/threads/backported-synth-riders-v1-27-dlc-pack-v2-ps4-fpkgs-released.15975/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
8,PSXTransfer App: Transfer Data from PC to PS4 / PS5 Consoles by Rasoulia,https://www.psxhax.com/threads/psxtransfer-app-transfer-data-from-pc-to-ps4-ps5-consoles-by-rasoulia.15985/,"https://www.psxhax.com/threads/psx-download-helper-transfer-ps4-game-data-via-pc-guide.2178/,https://www.psxhax.com/threads/psxlink-app-download-ps4-game-update-pkgs-firmware-by-rasoulia.12686/"
9,I Know That Song PS4 Homebrew FPKG by LapyGames Arrives,https://www.psxhax.com/threads/i-know-that-song-ps4-homebrew-fpkg-by-lapygames-arrives.15976/,https://www.psxhax.com/threads/drum-vr-1-00-demo-psvr-homebrew-fpkg-by-lapygames.15795/
10,Backported Synth Riders v1.27 & DLC Pack v2 PS4 FPKGs Released,https://www.psxhax.com/threads/backported-synth-riders-v1-27-dlc-pack-v2-ps4-fpkgs-released.15975/,"https://www.psxhax.com/threads/surgeon-simulator-experience-reality-psvr-ps4-fpkg-updates.15971/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
