page_id,page_title,page_url,links,pagerank
4099,How to Get a PS4 with Firmware at 1.76 or Below for Hacking,https://www.psxhax.com/threads/how-to-get-a-ps4-with-firmware-at-1-76-or-below-for-hacking.99/,"https://www.psxhax.com/threads/ps4-kernel-exploit-root-fs-dump-and-list-of-pids.97/,https://www.psxhax.com/threads/ps4-pro-ships-with-3-70-firmware-needs-update-to-access-browser.1065/",0.011814252451305669
1394,PSXHAX Member Verification & PS4 Fake PKG (FPKG) Sharing Guide,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,"https://www.psxhax.com/threads/ps4jb-ps4-6-72-jailbreak-exploit-by-sleirsgoevy-is-released.7548/,https://www.psxhax.com/threads/ps4jb2-ps4-7-5x-jailbreak-6-72-7-02-7-50-7-55-online-hosts-by-sleirsgoevy.9295/,https://www.psxhax.com/threads/downloading-ps4-pkg-games-that-are-base64-encoded-or-torrents-guide.10185/,https://www.psxhax.com/threads/backporting-ps4-7-02-games-to-5-05-6-72-backported-ps4-fpkgs.8389/,https://www.psxhax.com/threads/welcome-to-psxhax-psxhacks-everyone.5/,https://www.psxhax.com/threads/ps4jb-ps4-7-02-jailbreak-updates-by-sleirsgoevy-kernel-dump-and-more.8411/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/ps4-jailbreak-ps4jb-7-50-7-51-7-55-work-in-progress-dont-update.9242/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/",0.011402455541665166
816,POOBS4: PS4 9.00 Jailbreak Exploit via ChendoChap with Updated Payloads!,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,"https://www.psxhax.com/threads/xploitserver-persistent-android-webserver-for-x-project-by-stooged.6386/,https://www.psxhax.com/threads/ps4-system-software-firmware-9-03-live-dont-update.10441/,https://www.psxhax.com/threads/ps4-payload-injector-3-0-windows-gui-app-by-thewizwiki-ps4-elf-injector-by-sonysnightmare.7538/,https://www.psxhax.com/threads/playstation-4-tool-box-2-1-10-286-backwards-compatible-with-ps4-payloads.10390/,https://www.psxhax.com/threads/ps4-jailbreak-ps4jb-7-50-7-51-7-55-work-in-progress-dont-update.9242/post-174300,https://www.psxhax.com/threads/create-ps4-pc-local-server-to-launch-webkit-exploits-by-markus95.2967/,https://www.psxhax.com/threads/latest-ps4-fpkg-games-by-scene-release-group-duplex-arrive.9024/post-171869,https://www.psxhax.com/threads/ps4-arabicguy-menu-v1-0-for-title-updates-1-27-1-32-1-33-on-9-00-firmware.10556/,https://www.psxhax.com/threads/floating-discord-channel-psxhax-member-verification-thread.5824/,https://www.psxhax.com/threads/downloading-ps4-pkg-games-that-are-base64-encoded-or-torrents-guide.10185/,https://www.psxhax.com/threads/ps4-6-72-payload-ports-updated-mira-project-support-elf-loader.7539/,https://www.psxhax.com/threads/goldhen-v2-0b-by-sistr0-with-ps4-9-00-7-55-7-51-7-50-7-02-6-72-5-05-payloads.10407/,https://www.psxhax.com/threads/goldhen-v2-0b-by-sistr0-with-ps4-7-55-7-51-7-50-7-02-6-72-5-05-payloads.10407/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,https://www.psxhax.com/threads/ps4-7-50-kernel-exploit-via-sleirsgoevy-7-55-may-come-in-a-few-days.9236/post-173791,https://www.psxhax.com/threads/6-72-ps4-jailbreak-exploit-menu-ps-phwoar-host-menu-demo-by-leeful74.7697/,https://www.psxhax.com/threads/ps4-9-00-payloads-arrive-for-upcoming-playstation-4-jailbreak-exploit.10491/,https://www.psxhax.com/threads/ps4-system-software-firmware-9-00-is-now-live-dont-update.10219/,https://www.psxhax.com/threads/latest-ps4-pkg-games-in-the-playstation-4-scene-for-december-2021.10485/,https://www.psxhax.com/threads/host-your-own-ps4-webkit-exploit-page-on-lan-by-al-azif.2981/,https://www.psxhax.com/threads/android-ps4-exploit-host-6-72-server-apk-file-by-saad-alareqi.7984/,https://www.psxhax.com/threads/ps4-jailbreak-exploit-poobs4-for-9-00-firmware-with-automatic-goldhen.10609/,https://www.psxhax.com/threads/ps4-9-00-ps5-webkit-exploit-by-sleirsgoevy-kernel-exploit-required.10317/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/post-187288,https://www.psxhax.com/threads/new-ps4-pkg-games-in-the-playstation-4-scene-for-december-2021.10832/,https://www.psxhax.com/threads/welcome-to-psxhax-psxhacks-everyone.5/,https://www.psxhax.com/threads/ps4-payload-sender-in-react-native-for-android-apk-by-klairm.10830/,https://www.psxhax.com/threads/znullptr-on-ps4-ps5-jailbreak-exploit-development-seeking-donations.12468/,https://www.psxhax.com/threads/ps4-payloads-ps4-payload-sender-homebrew-app-by-master-s-aka-rooo7.10461/",0.010193805094105418
2063,Google Stadia Gaming Platform Officially Announced at GDC 2019,https://www.psxhax.com/threads/google-stadia-gaming-platform-officially-announced-at-gdc-2019.6696/,https://www.psxhax.com/threads/google-stadia-gaming-platform-officially-announced-at-gdc-2019.6696/,0.008859051173815384
2490,"PS4 Kernel Exploit 5.05 by SpecterDev, Kernel Dumper and Payloads",https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-by-specterdev-kernel-dumper-and-payloads.5315/,"https://www.psxhax.com/threads/updating-to-a-specific-ps4-firmware-guide-by-alexxlopaztico02.1064/,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-released-by-specterdev-kernel-dumper.5315/page-17#post-98081,https://www.psxhax.com/threads/ps4-system-software-firmware-5-03-update-live-more-stability.3225/#post-98395,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-released-by-specterdev-kernel-dumper.5315/page-18#post-98113,https://www.psxhax.com/threads/specterdev-announces-ps4-5-05-jailbreak-homebrew-tools-coming.5222/page-94#post-97632,https://www.psxhax.com/threads/how-to-flash-an-esp8266-ps4-device-on-windows-guide-by-greensmoke.5277/page-5#post-97623,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-released-by-specterdev-kernel-dumper.5315/page-16#post-98043,https://www.psxhax.com/threads/specterdev-announces-ps4-5-05-jailbreak-homebrew-tools-coming.5222/,https://www.psxhax.com/threads/specterdev-announces-ps4-5-05-jailbreak-homebrew-tools-coming.5222/page-95#post-97875,https://www.psxhax.com/threads/how-to-upload-a-custom-ps4-playground-into-esp8266-guide-by-nzie.4999/page-13#post-98482,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-released-by-specterdev-kernel-dumper.5315/#post-97454,https://www.psxhax.com/threads/host-your-own-ps4-webkit-exploit-page-on-lan-by-al-azif.2981/page-14#post-98686,https://www.psxhax.com/threads/ps4-hen-update-blocker-payload-with-debug-settings-by-celesteblue.3927/,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-by-specterdev-kernel-dumper-and-payloads.5315/page-10#post-97792,https://www.psxhax.com/threads/specterdev-announces-ps4-5-05-jailbreak-homebrew-tools-coming.5222/page-92#post-97547,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-released-by-specterdev-kernel-dumper.5315/page-19#post-98215,https://www.psxhax.com/threads/mirafw-project-mira-v1-0-developers-release-by-openorbis-arrives.5284/,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-by-specterdev-kernel-dumper-and-payloads.5315/page-10#post-97777,https://www.psxhax.com/threads/specterdev-announces-ps4-5-05-jailbreak-homebrew-tools-coming.5222/page-90#post-97496,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-by-specterdev-kernel-dumper-and-payloads.5315/page-9#post-97722,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-released-by-specterdev-kernel-dumper.5315/page-23#post-98383,https://www.psxhax.com/threads/specterdev-announces-ps4-5-05-jailbreak-homebrew-tools-coming.5222/page-93#post-97564,https://www.psxhax.com/threads/ps4-kernel-exploit-5-05-released-by-specterdev-kernel-dumper.5315/page-15#post-98031,https://www.psxhax.com/threads/how-to-flash-an-esp8266-ps4-device-on-windows-guide-by-greensmoke.5277/page-6#post-98191",0.007988314296293614
4136,Welcome to PSXHAX - PSXHACKS Everyone!,https://www.psxhax.com/threads/welcome-to-psxhax-psxhacks-everyone.5/,"https://www.psxhax.com/threads/mentions-alerts-and-following-psxhax-members-on-psxhacks.39/,https://www.psxhax.com/threads/floating-discord-channel-psxhax-member-verification-thread.5824/",0.007278713501724347
3622,Updating to a Specific PS4 Firmware Guide by AlexxLopaztico02,https://www.psxhax.com/threads/updating-to-a-specific-ps4-firmware-guide-by-alexxlopaztico02.1064/,"https://www.psxhax.com/threads/ps4-4-01-jailbreak-by-chinese-hackers-with-geohot-at-geekpwn-2016.1024/,https://www.psxhax.com/threads/ps4-4-55-holy-grail-ps4hen-by-m0rph3us1987-playground-updates.4575/page-12#post-67042,https://www.psxhax.com/threads/ps4-hen-update-blocker-payload-with-debug-settings-by-celesteblue.3927/,https://www.psxhax.com/threads/sony-confirms-ps4-4-01-kernel-exploit-with-firmware-4-05-update.937/",0.006002791926325716
1806,"Sony Confirms PlayStation 5 Next-Gen Console, PS5 Holiday 2020 Launch!",https://www.psxhax.com/threads/sony-confirms-playstation-5-next-gen-console-ps5-holiday-2020-launch.7096/,"https://www.psxhax.com/threads/playstation-assistant-sony-patent-leads-to-ps5-ai-voice-assistance-rumors.7084/,https://www.psxhax.com/threads/sony-financial-results-meeting-no-ps5-release-before-april-2020.6759/",0.005622156068445007
4100,PS4 Kernel Exploit Root FS Dump and List of PIDs,https://www.psxhax.com/threads/ps4-kernel-exploit-root-fs-dump-and-list-of-pids.97/,https://www.psxhax.com/threads/ps4-is-officially-jailbroken-cturt-confirms-ram-dumping-more.93/,0.005557035463272659
3620,"PS4 Pro Ships with 3.70 Firmware, Needs Update to Access Browser",https://www.psxhax.com/threads/ps4-pro-ships-with-3-70-firmware-needs-update-to-access-browser.1065/,"https://www.psxhax.com/threads/ps4-pro-support-gifs-and-photo-mode-in-sharefactory-update-2-0.1058/,https://www.psxhax.com/threads/update-games-without-updating-ps4.966/#post-8810,https://www.psxhax.com/threads/updating-to-a-specific-ps4-firmware-guide-by-alexxlopaztico02.1064/,https://www.psxhax.com/threads/new-sony-trailer-showcases-super-charged-ps4-pro-tech-features.1055/,https://www.psxhax.com/threads/ps4-pro-ships-with-3-70-firmware-needs-update-to-access-browser.1065/#post-8841,https://www.psxhax.com/threads/first-ps4-pro-box-images-surface-consoles-shipping-to-retailers.979/#post-8787,https://www.psxhax.com/threads/playstation-4-professional-ultimate-ps4-pro-faq-detailed.761/",0.0053586599083166285
